iter,loss,lr,val_psnr,sec_per_100it,val_l1_spec,val_sam,val_sam_valid_frac,val_sharpness,val_hf_energy,val_ssim,val_lpips,val_sam_hr,val_ergas
7700,0.010061,6.213e-05,,24.9,,,,,,,,,
7800,0.009818,5.964e-05,,24.7,,,,,,,,,
7900,0.010101,5.718e-05,,24.8,,,,,,,,,
8000,0.009883,5.475e-05,,25.0,,,,,,,,,
8000,,,35.1750,,0.00175465,0.00598684,0.999850,0.03659288,0.01382876,0.833196,0.399246,3.007908,4.173146
8100,0.009915,5.235e-05,,35.5,,,,,,,,,
8200,0.010019,4.999e-05,,24.9,,,,,,,,,
8300,0.010005,4.767e-05,,24.9,,,,,,,,,
8400,0.009990,4.538e-05,,25.2,,,,,,,,,
8500,0.009976,4.314e-05,,25.2,,,,,,,,,
8500,,,35.1915,,0.00165530,0.00494460,0.999850,0.03647765,0.01369183,0.833050,0.400824,3.015446,4.168308
8600,0.010063,4.094e-05,,35.4,,,,,,,,,
8700,0.009919,3.879e-05,,25.0,,,,,,,,,
8800,0.009979,3.668e-05,,24.9,,,,,,,,,
8900,0.009945,3.462e-05,,24.4,,,,,,,,,
9000,0.010074,3.261e-05,,25.2,,,,,,,,,
9000,,,35.2063,,0.00174989,0.00521413,0.999850,0.03623522,0.01383907,0.833095,0.399631,3.000694,4.159252
9100,0.009860,3.064e-05,,35.1,,,,,,,,,
9200,0.010027,2.874e-05,,25.2,,,,,,,,,
9300,0.009976,2.688e-05,,25.0,,,,,,,,,
9400,0.010094,2.508e-05,,24.9,,,,,,,,,
9500,0.009891,2.333e-05,,24.8,,,,,,,,,
9500,,,35.1889,,0.00165990,0.00484155,0.999850,0.03634984,0.01381362,0.833329,0.399559,3.018522,4.160161
9600,0.009894,2.165e-05,,35.1,,,,,,,,,
9700,0.010061,2.002e-05,,25.1,,,,,,,,,
9800,0.009884,1.845e-05,,25.0,,,,,,,,,
9900,0.009972,1.694e-05,,24.7,,,,,,,,,
10000,0.009936,1.550e-05,,25.0,,,,,,,,,
10000,,,35.1988,,0.00157070,0.00442252,0.999850,0.03640521,0.01378470,0.833062,0.400327,3.020326,4.168037
10100,0.009973,1.412e-05,,35.0,,,,,,,,,
10200,0.009881,1.280e-05,,25.2,,,,,,,,,
10300,0.010011,1.155e-05,,25.3,,,,,,,,,
10400,0.009897,1.037e-05,,24.8,,,,,,,,,
10500,0.009962,9.248e-06,,24.9,,,,,,,,,
10500,,,35.2100,,0.00159905,0.00454871,0.999850,0.03624681,0.01381585,0.832989,0.400679,3.014517,4.166213
10600,0.009983,8.199e-06,,35.0,,,,,,,,,
10700,0.009987,7.218e-06,,25.0,,,,,,,,,
10800,0.009930,6.307e-06,,25.3,,,,,,,,,
10900,0.009983,5.467e-06,,24.3,,,,,,,,,
11000,0.009985,4.697e-06,,25.3,,,,,,,,,
11000,,,35.2045,,0.00162308,0.00437617,0.999850,0.03633524,0.01384847,0.833115,0.399918,3.018018,4.163995
11100,0.009987,3.999e-06,,35.6,,,,,,,,,
11200,0.009831,3.373e-06,,25.3,,,,,,,,,
11300,0.009962,2.819e-06,,25.2,,,,,,,,,
11400,0.010004,2.338e-06,,24.4,,,,,,,,,
11500,0.009935,1.930e-06,,25.4,,,,,,,,,
11500,,,35.2037,,0.00159407,0.00433286,0.999850,0.03647555,0.01386988,0.833200,0.399565,3.018431,4.165991
11600,0.009898,1.596e-06,,35.4,,,,,,,,,
11700,0.009984,1.336e-06,,24.8,,,,,,,,,
11800,0.009878,1.150e-06,,25.0,,,,,,,,,
11900,0.009917,1.038e-06,,24.5,,,,,,,,,
12000,0.010037,1.000e-06,,25.1,,,,,,,,,
12000,,,35.2047,,0.00158882,0.00437531,0.999850,0.03639247,0.01381219,0.833163,0.400115,3.016924,4.165163
