iter,loss,lr,val_psnr,sec_per_100it,val_l1_spec,val_sam,val_sam_valid_frac,val_sharpness,val_hf_energy,val_ssim,val_lpips,val_sam_hr,val_ergas
7700,0.009701,6.213e-05,,25.3,,,,,,,,,
7800,0.009471,5.964e-05,,24.8,,,,,,,,,
7900,0.009724,5.718e-05,,25.3,,,,,,,,,
8000,0.009527,5.475e-05,,25.3,,,,,,,,,
8000,,,35.2655,,0.00302500,0.01361464,0.999850,0.03484865,0.01405195,0.834306,0.379554,2.879320,4.105194
8100,0.009553,5.235e-05,,35.8,,,,,,,,,
8200,0.009650,4.999e-05,,25.2,,,,,,,,,
8300,0.009645,4.767e-05,,24.7,,,,,,,,,
8400,0.009628,4.538e-05,,25.0,,,,,,,,,
8500,0.009616,4.314e-05,,25.5,,,,,,,,,
8500,,,35.2734,,0.00306265,0.01351259,0.999850,0.03490411,0.01408479,0.834416,0.379625,2.880227,4.102034
8600,0.009692,4.094e-05,,36.4,,,,,,,,,
8700,0.009557,3.879e-05,,25.4,,,,,,,,,
8800,0.009618,3.668e-05,,25.1,,,,,,,,,
8900,0.009587,3.462e-05,,25.0,,,,,,,,,
9000,0.009699,3.261e-05,,25.4,,,,,,,,,
9000,,,35.2741,,0.00333866,0.01514067,0.999850,0.03424001,0.01414943,0.834218,0.379278,2.874288,4.097279
9100,0.009505,3.064e-05,,35.7,,,,,,,,,
9200,0.009666,2.874e-05,,25.6,,,,,,,,,
9300,0.009615,2.688e-05,,25.5,,,,,,,,,
9400,0.009733,2.508e-05,,24.8,,,,,,,,,
9500,0.009531,2.333e-05,,25.6,,,,,,,,,
9500,,,35.2685,,0.00309597,0.01358400,0.999850,0.03442749,0.01406020,0.834613,0.379568,2.872999,4.091982
9600,0.009539,2.165e-05,,36.2,,,,,,,,,
9700,0.009704,2.002e-05,,25.0,,,,,,,,,
9800,0.009524,1.845e-05,,25.1,,,,,,,,,
9900,0.009614,1.694e-05,,25.0,,,,,,,,,
10000,0.009579,1.550e-05,,25.3,,,,,,,,,
10000,,,35.2920,,0.00304515,0.01321979,0.999850,0.03444033,0.01393221,0.834353,0.380296,2.872266,4.097343
10100,0.009612,1.412e-05,,36.1,,,,,,,,,
10200,0.009524,1.280e-05,,25.6,,,,,,,,,
10300,0.009646,1.155e-05,,25.5,,,,,,,,,
10400,0.009542,1.037e-05,,24.8,,,,,,,,,
10500,0.009600,9.248e-06,,25.4,,,,,,,,,
10500,,,35.3034,,0.00308002,0.01384880,0.999850,0.03421685,0.01389099,0.834280,0.380716,2.866094,4.095463
10600,0.009622,8.199e-06,,35.8,,,,,,,,,
10700,0.009624,7.218e-06,,25.3,,,,,,,,,
10800,0.009570,6.307e-06,,25.3,,,,,,,,,
10900,0.009619,5.467e-06,,25.0,,,,,,,,,
11000,0.009624,4.697e-06,,25.3,,,,,,,,,
11000,,,35.2937,,0.00314394,0.01409624,0.999850,0.03432322,0.01407608,0.834463,0.379102,2.865546,4.091986
11100,0.009624,3.999e-06,,35.9,,,,,,,,,
11200,0.009473,3.373e-06,,25.2,,,,,,,,,
11300,0.009603,2.819e-06,,25.1,,,,,,,,,
11400,0.009643,2.338e-06,,25.0,,,,,,,,,
11500,0.009578,1.930e-06,,25.1,,,,,,,,,
11500,,,35.2972,,0.00306632,0.01353534,0.999850,0.03451431,0.01407295,0.834559,0.378808,2.866113,4.093330
11600,0.009535,1.596e-06,,35.8,,,,,,,,,
11700,0.009621,1.336e-06,,25.5,,,,,,,,,
11800,0.009518,1.150e-06,,25.6,,,,,,,,,
11900,0.009559,1.038e-06,,24.9,,,,,,,,,
12000,0.009671,1.000e-06,,25.5,,,,,,,,,
12000,,,35.2983,,0.00307152,0.01355310,0.999850,0.03441002,0.01399793,0.834533,0.379436,2.865282,4.092373
