iter,loss,lr,val_psnr,sec_per_100it,val_l1_spec,val_sam,val_sam_valid_frac,val_sharpness,val_hf_energy,val_ssim,val_lpips,val_sam_hr,val_ergas
100,0.132909,4.000e-05,,34.2,,,,,,,,,
200,0.029372,8.000e-05,,25.2,,,,,,,,,
300,0.022340,1.200e-04,,25.1,,,,,,,,,
400,0.018779,1.600e-04,,25.3,,,,,,,,,
500,0.017485,2.000e-04,,25.1,,,,,,,,,
500,,,33.4974,,0.00675260,0.03398166,0.999850,0.03535482,0.06652460,0.796797,0.489084,4.002962,4.978317
600,0.016102,2.000e-04,,36.6,,,,,,,,,
700,0.014954,1.999e-04,,25.5,,,,,,,,,
800,0.014548,1.997e-04,,24.9,,,,,,,,,
900,0.013958,1.994e-04,,25.5,,,,,,,,,
1000,0.013243,1.991e-04,,25.1,,,,,,,,,
1000,,,34.3293,,0.00515860,0.03031763,0.999850,0.03543881,0.02081934,0.817812,0.434069,3.682146,4.587045
1100,0.013377,1.987e-04,,35.7,,,,,,,,,
1200,0.012538,1.982e-04,,25.0,,,,,,,,,
1300,0.012481,1.976e-04,,24.9,,,,,,,,,
1400,0.012635,1.970e-04,,25.1,,,,,,,,,
1500,0.012258,1.963e-04,,24.9,,,,,,,,,
1500,,,34.8861,,0.00228217,0.01364988,0.999850,0.03669609,0.01526911,0.824556,0.424660,3.284820,4.360332
1600,0.011713,1.955e-04,,35.5,,,,,,,,,
1700,0.011734,1.947e-04,,25.0,,,,,,,,,
1800,0.011895,1.938e-04,,25.0,,,,,,,,,
1900,0.011811,1.928e-04,,24.7,,,,,,,,,
2000,0.011469,1.918e-04,,24.8,,,,,,,,,
2000,,,34.9085,,0.00274612,0.01348539,0.999850,0.03658259,0.01449860,0.827937,0.420196,3.218785,4.282838
2100,0.011437,1.907e-04,,36.2,,,,,,,,,
2200,0.011710,1.895e-04,,25.3,,,,,,,,,
2300,0.011362,1.882e-04,,25.0,,,,,,,,,
2400,0.011298,1.869e-04,,25.2,,,,,,,,,
2500,0.011212,1.855e-04,,25.3,,,,,,,,,
2500,,,35.0239,,0.00164156,0.00920485,0.999850,0.03720684,0.01393116,0.828658,0.419956,3.129834,4.284408
2600,0.011225,1.841e-04,,36.1,,,,,,,,,
2700,0.011281,1.826e-04,,25.1,,,,,,,,,
2800,0.011126,1.810e-04,,24.5,,,,,,,,,
2900,0.011293,1.794e-04,,25.0,,,,,,,,,
3000,0.011067,1.777e-04,,25.1,,,,,,,,,
3000,,,35.0097,,0.00171737,0.01012140,0.999850,0.03711033,0.01374651,0.829546,0.417051,3.124884,4.262793
3100,0.010799,1.760e-04,,35.8,,,,,,,,,
3200,0.011317,1.742e-04,,25.5,,,,,,,,,
3300,0.011203,1.723e-04,,24.7,,,,,,,,,
