iter,loss,lr,val_psnr,sec_per_100it,val_l1_spec,val_sam,val_sam_valid_frac,val_sharpness,val_hf_energy,val_ssim,val_lpips,val_sam_hr,val_ergas
3400,0.011019,1.704e-04,,25.3,,,,,,,,,
3500,0.010827,1.684e-04,,25.2,,,,,,,,,
3500,,,35.0208,,0.00149663,0.00792451,0.999850,0.03744192,0.01382575,0.829492,0.418594,3.152314,4.286050
3600,0.010957,1.664e-04,,35.7,,,,,,,,,
3700,0.011015,1.644e-04,,25.7,,,,,,,,,
3800,0.010844,1.623e-04,,24.3,,,,,,,,,
3900,0.010812,1.601e-04,,25.1,,,,,,,,,
4000,0.010877,1.579e-04,,25.3,,,,,,,,,
4000,,,34.9580,,0.00153831,0.00682805,0.999850,0.03787590,0.01397583,0.829513,0.418153,3.159628,4.318733
4100,0.010748,1.557e-04,,35.7,,,,,,,,,
4200,0.010897,1.534e-04,,25.0,,,,,,,,,
4300,0.010745,1.511e-04,,25.2,,,,,,,,,
4400,0.010787,1.487e-04,,25.1,,,,,,,,,
4500,0.010789,1.463e-04,,25.1,,,,,,,,,
4500,,,34.9906,,0.00134277,0.00621001,0.999850,0.03779379,0.01402021,0.829395,0.415849,3.161056,4.306151
4600,0.010759,1.439e-04,,35.7,,,,,,,,,
4700,0.010525,1.414e-04,,24.9,,,,,,,,,
4800,0.010830,1.389e-04,,25.1,,,,,,,,,
4900,0.010700,1.364e-04,,25.0,,,,,,,,,
5000,0.010578,1.338e-04,,24.9,,,,,,,,,
5000,,,34.9838,,0.00133320,0.00676892,0.999850,0.03801607,0.01426587,0.828631,0.415662,3.204318,4.331735
5100,0.010519,1.313e-04,,35.5,,,,,,,,,
5200,0.010662,1.287e-04,,25.1,,,,,,,,,
5300,0.010671,1.261e-04,,25.2,,,,,,,,,
5400,0.010583,1.234e-04,,25.1,,,,,,,,,
5500,0.010725,1.208e-04,,25.0,,,,,,,,,
5500,,,35.0423,,0.00090983,0.00314403,0.999850,0.03787040,0.01398002,0.829692,0.416456,3.132708,4.280785
5600,0.010369,1.181e-04,,35.5,,,,,,,,,
5700,0.010625,1.154e-04,,25.2,,,,,,,,,
5800,0.010473,1.127e-04,,25.0,,,,,,,,,
5900,0.010544,1.100e-04,,25.1,,,,,,,,,
6000,0.010537,1.073e-04,,25.3,,,,,,,,,
6000,,,35.0366,,0.00087983,0.00410407,0.999850,0.03787226,0.01387836,0.830010,0.415462,3.142653,4.283308
6100,0.010461,1.046e-04,,35.9,,,,,,,,,
6200,0.010390,1.019e-04,,25.0,,,,,,,,,
6300,0.010609,9.917e-05,,24.4,,,,,,,,,
6400,0.010507,9.645e-05,,24.7,,,,,,,,,
6500,0.010237,9.374e-05,,24.8,,,,,,,,,
6500,,,35.0084,,0.00082462,0.00470735,0.999850,0.03805662,0.01381317,0.830271,0.414799,3.150343,4.287217
6600,0.010340,9.103e-05,,35.8,,,,,,,,,
6700,0.010400,8.833e-05,,24.9,,,,,,,,,
6800,0.010507,8.563e-05,,24.9,,,,,,,,,
6900,0.010331,8.295e-05,,25.1,,,,,,,,,
7000,0.010361,8.028e-05,,25.1,,,,,,,,,
7000,,,35.0212,,0.00063658,0.00330254,0.999850,0.03794663,0.01364258,0.830028,0.416060,3.151014,4.287768
7100,0.010244,7.763e-05,,36.1,,,,,,,,,
7200,0.010434,7.499e-05,,25.3,,,,,,,,,
7300,0.010448,7.238e-05,,24.9,,,,,,,,,
7400,0.010291,6.978e-05,,25.3,,,,,,,,,
7500,0.010471,6.721e-05,,25.1,,,,,,,,,
7500,,,35.0100,,0.00047488,0.00165830,0.999850,0.03825351,0.01376438,0.830058,0.414385,3.150920,4.290917
7600,0.010284,6.466e-05,,36.0,,,,,,,,,
7700,0.010386,6.213e-05,,25.3,,,,,,,,,
7800,0.010099,5.964e-05,,24.7,,,,,,,,,
7900,0.010367,5.718e-05,,25.0,,,,,,,,,
8000,0.010157,5.475e-05,,24.8,,,,,,,,,
8000,,,35.0038,,0.00040578,0.00194759,0.999850,0.03822087,0.01367331,0.830139,0.413610,3.144442,4.294089
8100,0.010205,5.235e-05,,35.8,,,,,,,,,
8200,0.010292,4.999e-05,,25.2,,,,,,,,,
8300,0.010242,4.767e-05,,24.7,,,,,,,,,
8400,0.010215,4.538e-05,,24.9,,,,,,,,,
8500,0.010231,4.314e-05,,25.1,,,,,,,,,
8500,,,35.0041,,0.00045880,0.00244805,0.999850,0.03827645,0.01366802,0.830201,0.413298,3.147455,4.294678
8600,0.010291,4.094e-05,,35.8,,,,,,,,,
8700,0.010160,3.879e-05,,25.3,,,,,,,,,
8800,0.010187,3.668e-05,,25.5,,,,,,,,,
8900,0.010172,3.462e-05,,24.6,,,,,,,,,
9000,0.010299,3.261e-05,,25.3,,,,,,,,,
9000,,,35.0071,,0.00040081,0.00179019,0.999850,0.03824172,0.01370289,0.830057,0.413089,3.148580,4.295537
9100,0.010082,3.064e-05,,36.0,,,,,,,,,
9200,0.010237,2.874e-05,,25.1,,,,,,,,,
9300,0.010186,2.688e-05,,25.2,,,,,,,,,
9400,0.010309,2.508e-05,,24.9,,,,,,,,,
9500,0.010090,2.333e-05,,24.9,,,,,,,,,
9500,,,34.9997,,0.00034487,0.00165791,0.999850,0.03821555,0.01367221,0.830270,0.413210,3.145977,4.290601
9600,0.010101,2.165e-05,,35.6,,,,,,,,,
9700,0.010264,2.002e-05,,25.4,,,,,,,,,
9800,0.010091,1.845e-05,,24.9,,,,,,,,,
9900,0.010162,1.694e-05,,24.4,,,,,,,,,
10000,0.010130,1.550e-05,,25.2,,,,,,,,,
10000,,,34.9906,,0.00030022,0.00121534,0.999850,0.03839611,0.01361856,0.830164,0.413489,3.148985,4.300073
10100,0.010173,1.412e-05,,36.1,,,,,,,,,
10200,0.010075,1.280e-05,,25.4,,,,,,,,,
10300,0.010204,1.155e-05,,25.6,,,,,,,,,
10400,0.010084,1.037e-05,,24.4,,,,,,,,,
10500,0.010155,9.248e-06,,25.1,,,,,,,,,
10500,,,35.0005,,0.00026473,0.00110989,0.999850,0.03829423,0.01366423,0.830118,0.413513,3.147758,4.295932
10600,0.010173,8.199e-06,,35.8,,,,,,,,,
10700,0.010182,7.218e-06,,25.1,,,,,,,,,
10800,0.010118,6.307e-06,,25.3,,,,,,,,,
10900,0.010174,5.467e-06,,24.4,,,,,,,,,
11000,0.010177,4.697e-06,,25.1,,,,,,,,,
11000,,,34.9962,,0.00025106,0.00109388,0.999850,0.03836869,0.01367325,0.830172,0.413093,3.149837,4.296657
11100,0.010179,3.999e-06,,36.1,,,,,,,,,
11200,0.010018,3.373e-06,,25.0,,,,,,,,,
11300,0.010150,2.819e-06,,24.8,,,,,,,,,
11400,0.010191,2.338e-06,,24.5,,,,,,,,,
11500,0.010122,1.930e-06,,25.0,,,,,,,,,
11500,,,34.9952,,0.00024413,0.00106362,0.999850,0.03838708,0.01364882,0.830199,0.413111,3.148983,4.297504
11600,0.010088,1.596e-06,,35.0,,,,,,,,,
11700,0.010175,1.336e-06,,25.1,,,,,,,,,
11800,0.010067,1.150e-06,,25.2,,,,,,,,,
11900,0.010103,1.038e-06,,24.8,,,,,,,,,
12000,0.010229,1.000e-06,,25.1,,,,,,,,,
12000,,,34.9959,,0.00024225,0.00106382,0.999850,0.03837142,0.01362601,0.830181,0.413270,3.148706,4.296997
