method,row,iteration,lambda1,lambda2,n_pairs,psnr_db,ssim,lpips,sam_deg,ergas,consistency_opensr_l1,consistency_l1_spec_area,sobel_ratio_vs_gt,hf_ratio_vs_gt,blur_index
bicubic,baseline,,,,1199,38.4717,0.882467,0.403318,2.09246,3.05026,0.00217046,0.00121004,0.423235,0.062069,
a2,selected,12000,0.0,0.0,1199,38.8708,0.888901,0.332209,1.97205,2.89657,0.00319858,0.00276109,0.448796,0.0867829,
a2,final,12000,0.0,0.0,1199,38.8708,0.888901,0.332209,1.97205,2.89657,0.00319858,0.00276109,0.448796,0.0867829,
b1,selected,12000,0.1,0.02,1199,38.7654,0.888084,0.345241,2.04397,2.93327,0.00213443,0.0013964,0.472797,0.0829922,0.846616
b1,final,12000,0.1,0.02,1199,38.7654,0.888084,0.345241,2.04397,2.93327,0.00213443,0.0013964,0.472797,0.0829922,0.846616
b2,selected,12000,0.3,0.06,1199,38.5585,0.886416,0.355788,2.10958,3.00802,0.00134428,0.000200375,0.497043,0.0805646,0.748388
b2,final,12000,0.3,0.06,1199,38.5585,0.886416,0.355788,2.10958,3.00802,0.00134428,0.000200375,0.497043,0.0805646,0.748388
