key,label,status,split,n,lpips,lpips_vs_bicubic_pct,spec_l1_opensr,spec_l1_train_op,sam_deg,hf_ratio_vs_gt,blur_index,blur_flag,sobel_ratio_vs_gt,ssim,ergas,psnr_db,params,cfg_hash,git_sha,dirty,iteration,checkpoint,d_lpips_vs_a2_pct,d_spec_l1_vs_a2_pct,interim,full_split,source,notes
bicubic,Bicubic,filled,val,1199,0.403318,,0.00217046,0.00121004,2.09246,0.062069,,False,0.423235,0.882467,3.05026,38.4717,0,,,,,,,,False,True,D:\SIH\DrishtiSR-mvp\reports\day3_ab_metrics.csv,
runA,Run A †,filled,val,1199,0.32191763429423237,-20.182676127960477,0.0034282493271636876,0.003114373668223521,2.0219247870656267,,,False,,0.8896251111941174,2.903640102001267,38.825954517214235,1518724,,,,8000,D:\SIH\DrishtiSR\runs\runA\best.pt,,,True,True,D:\SIH\DrishtiSR\outputs\metrics\eval_all_ckpts\runA\it08000\per_pair.csv,HF/Sobel ratios not measured for Run A (Day 3 sharpness pass covered A2/B1/B2 only); Run A predates run_metadata.json: no cfg hash / git SHA / dirty flag recorded
a2,A2 (control),filled,val,1199,0.332209,-17.631000847966128,0.00319858,0.00276109,1.97205,0.0867829,,False,0.448796,0.888901,2.89657,38.8708,855652,e6082c69,fb8659d,False,12000,D:\SIH\DrishtiSR\runs\day3\a2\last.pt,,,False,True,D:\SIH\DrishtiSR-mvp\reports\day3_ab_metrics.csv,
b1,"B1 (λ₁=0.1, λ₂=0.02)",filled,val,1199,0.345241,-14.399803628898288,0.00213443,0.0013964,2.04397,0.0829922,0.846616,True,0.472797,0.888084,2.93327,38.7654,855652,e6082c69,fb8659d,False,12000,D:\SIH\DrishtiSR\runs\day3\b1\last.pt,3.922831711362429,-33.26945081880084,False,True,D:\SIH\DrishtiSR-mvp\reports\day3_ab_metrics.csv,
b2,"B2 (λ₁=0.3, λ₂=0.06)",filled,val,1199,0.355788,-11.784745535780704,0.00134428,0.000200375,2.10958,0.0805646,0.748388,True,0.497043,0.886416,3.00802,38.5585,855652,e6082c69,fb8659d,False,12000,D:\SIH\DrishtiSR\runs\day3\b2\last.pt,7.097640340869749,-57.9726003414015,False,True,D:\SIH\DrishtiSR-mvp\reports\day3_ab_metrics.csv,
best,"Best ★ (A2, Day 3 verdict)",filled,val,1199,0.332209,-17.631000847966128,0.00319858,0.00276109,1.97205,0.0867829,,False,0.448796,0.888901,2.89657,38.8708,855652,e6082c69,fb8659d,False,12000,D:\SIH\DrishtiSR\runs\day3\a2\last.pt,,,False,True,D:\SIH\DrishtiSR-mvp\reports\day3_ab_metrics.csv,
a2_proj,A2 + consistency projection,filled,val,200,0.35210168003104625,,,0.0004106028412206797,1.9683160496412608,0.09006948322739383,,False,,0.8906845899338801,2.841674853401845,38.78441981738191,855652,,4978e05,True,,a2-last-dce224ec,5.74575636787753,-84.46352953238404,False,False,D:\SIH\DrishtiSR-mvp\reports\mvp\projection_gate.json,"n=200 VAL patches, NOT the full split; compare only with the A2 row of the same file; projection gate FAILED: not served; Δ spec L1 vs A2 uses the training operator (opensr measure not run); opensr consistency not run (projected 740s > 600s budget); Sobel ratio not measured by the projection gate"
