iter,loss,lr,val_psnr,sec_per_100it
15600,0.009172,1.365e-04,,28.2
15700,0.009132,1.357e-04,,28.1
15800,0.009113,1.350e-04,,26.6
15900,0.009102,1.342e-04,,26.3
16000,0.009194,1.335e-04,,26.5
16000,,,35.2461,
16100,0.008968,1.328e-04,,34.9
16200,0.009180,1.320e-04,,27.8
16300,0.009094,1.313e-04,,27.9
16400,0.009066,1.305e-04,,27.9
16500,0.009140,1.297e-04,,28.0
16600,0.009025,1.290e-04,,27.8
16700,0.009212,1.282e-04,,27.8
16800,0.009016,1.275e-04,,27.4
16900,0.009100,1.267e-04,,26.1
17000,0.009072,1.259e-04,,26.4
17100,0.009079,1.252e-04,,26.3
17200,0.009110,1.244e-04,,26.3
17300,0.009067,1.236e-04,,26.8
17400,0.009027,1.229e-04,,26.7
17500,0.009002,1.221e-04,,26.4
17600,0.009175,1.213e-04,,26.6
17700,0.009003,1.205e-04,,26.3
17800,0.009085,1.198e-04,,26.2
17900,0.008993,1.190e-04,,26.6
18000,0.009097,1.182e-04,,26.5
18000,,,35.1616,
18100,0.009221,1.174e-04,,34.0
18200,0.008980,1.167e-04,,26.5
18300,0.008939,1.159e-04,,26.7
18400,0.009069,1.151e-04,,26.4
18500,0.009117,1.143e-04,,27.0
18600,0.008946,1.135e-04,,26.9
18700,0.009001,1.127e-04,,26.9
18800,0.009111,1.120e-04,,26.8
18900,0.009001,1.112e-04,,25.9
19000,0.009062,1.104e-04,,26.3
19100,0.009052,1.096e-04,,25.8
19200,0.008946,1.088e-04,,25.7
19300,0.008973,1.080e-04,,25.5
19400,0.009063,1.072e-04,,25.9
19500,0.009036,1.064e-04,,26.1
19600,0.008994,1.056e-04,,26.4
19700,0.009012,1.049e-04,,26.6
19800,0.009030,1.041e-04,,25.8
19900,0.008953,1.033e-04,,25.6
20000,0.009068,1.025e-04,,25.7
20000,,,35.1644,
20100,0.009003,1.017e-04,,32.1
20200,0.008943,1.009e-04,,26.2
20300,0.009002,1.001e-04,,27.1
20400,0.009047,9.932e-05,,28.1
20500,0.008970,9.853e-05,,28.3
20600,0.008836,9.774e-05,,28.0
